# US place names for offline city/state validation.
# Generated by tools/build_us_places.py from the US Census Gazetteer (public domain).
# Source: https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2023_Gazetteer/2023_Gaz_place_national.zip
# Format: <lookup key>\t<state>\t<canonical name>
aaasco	PR	A̱asco
aaronsburg	PA	Aaronsburg
abanda	AL	Abanda
abbeville	AL	Abbeville
abbeville	GA	Abbeville
abbeville	LA	Abbeville
abbeville	MS	Abbeville
abbeville	SC	Abbeville
abbotsford	WI	Abbotsford
abbott	TX	Abbott
abbottstown	PA	Abbottstown
abbs valley	VA	Abbs Valley
abbyville	KS	Abbyville
abercrombie	ND	Abercrombie
aberdeen	ID	Aberdeen
aberdeen	IN	Aberdeen
aberdeen	MD	Aberdeen
aberdeen	MS	Aberdeen
aberdeen	NC	Aberdeen
aberdeen	OH	Aberdeen
aberdeen	SD	Aberdeen
aberdeen	WA	Aberdeen
aberdeen gardens	WA	Aberdeen Gardens
aberdeen proving ground	MD	Aberdeen Proving Ground
abernathy	TX	Abernathy
abeytas	NM	Abeytas
abie	NE	Abie
abilene	KS	Abilene
abilene	TX	Abilene
abingdon	IL	Abingdon
abingdon	MD	Abingdon
abingdon	VA	Abingdon
abington	IN	Abington
abington	MA	Abington
abiquiu	NM	Abiquiu
abita springs	LA	Abita Springs
abney crossroads	SC	Abney Crossroads
abram	TX	Abram
abrams	WI	Abrams
absarokee	MT	Absarokee
absecon	NJ	Absecon
absecon highlands	NJ	Absecon Highlands
acacia villas	FL	Acacia Villas
acala	TX	Acala
acalanes ridge	CA	Acalanes Ridge
acampo	CA	Acampo
accident	MD	Accident
accokeek	MD	Accokeek
accomac	VA	Accomac
accord	NY	Accord
accoville	WV	Accoville
aceitunas	PR	Aceitunas
acequia	ID	Acequia
achille	OK	Achille
ackerly	TX	Ackerly
ackerman	MS	Ackerman
ackermanville	PA	Ackermanville
ackley	IA	Ackley
ackworth	IA	Ackworth
acme	WA	Acme
acomita lake	NM	Acomita Lake
acorn	AR	Acorn
acosta	PA	Acosta
acres green	CO	Acres Green
acton	CA	Acton
acton	MT	Acton
acushnet center	MA	Acushnet Center
acworth	GA	Acworth
ada	KS	Ada
ada	MN	Ada
ada	OH	Ada
ada	OK	Ada
adair	IA	Adair
adair	IL	Adair
adair	OK	Adair
adair village	OR	Adair Village
adairsville	GA	Adairsville
adairville	KY	Adairville
adak	AK	Adak
adams	IL	Adams
adams	IN	Adams
adams	MA	Adams
adams	MN	Adams
adams	ND	Adams
adams	NE	Adams
adams	NY	Adams
adams	OK	Adams
adams	OR	Adams
adams	TN	Adams
adams	WI	Adams
adams center	NY	Adams Center
adams lake	IN	Adams Lake
adams run	SC	Adams Run
adamsburg	PA	Adamsburg
adamson	OK	Adamson
adamstown	MD	Adamstown
adamstown	PA	Adamstown
adamsville	AL	Adamsville
adamsville	OH	Adamsville
adamsville	PA	Adamsville
adamsville	TN	Adamsville
addieville	IL	Addieville
addington	OK	Addington
addis	LA	Addis
addison	AL	Addison
addison	IL	Addison
addison	MI	Addison
addison	NY	Addison
addison	PA	Addison
addison	TX	Addison
addison webster springs	WV	Addison (Webster Springs)
addy	WA	Addy
addyston	OH	Addyston
adel	GA	Adel
adel	IA	Adel
adelanto	CA	Adelanto
adeline	IL	Adeline
adelino	NM	Adelino
adell	WI	Adell
adelphi	MD	Adelphi
adelphi	OH	Adelphi
adena	OH	Adena
adin	CA	Adin
adjuntas	PR	Adjuntas
admire	KS	Admire
adona	AR	Adona
adrian	GA	Adrian
adrian	MI	Adrian
adrian	MN	Adrian
adrian	MO	Adrian
adrian	OR	Adrian
adrian	TX	Adrian
adrian	WV	Adrian
advance	IN	Advance
advance	MI	Advance
advance	MO	Advance
advance	NC	Advance
adwolf	VA	Adwolf
aetna estates	CO	Aetna Estates
affton	MO	Affton
afton	IA	Afton
afton	MN	Afton
afton	NY	Afton
afton	OK	Afton
afton	VA	Afton
afton	WY	Afton
agar	SD	Agar
agawam	MA	Agawam
agawam town	MA	Agawam
agency	IA	Agency
agency	MO	Agency
agency village	SD	Agency Village
agenda	KS	Agenda
ages	KY	Ages
agnew	NE	Agnew
agoura hills	CA	Agoura Hills
agra	KS	Agra
agra	OK	Agra
agricola	MS	Agricola
agua dulce	CA	Agua Dulce
agua dulce	TX	Agua Dulce
agua fria	NM	Agua Fria
aguada	PR	Aguada
aguadilla	PR	Aguadilla
aguanga	CA	Aguanga
aguas buenas	PR	Aguas Buenas
aguas claras	PR	Aguas Claras
aguila	AZ	Aguila
aguilar	CO	Aguilar
aguilares	TX	Aguilares
aguilita	PR	Aguilita
ahmeek	MI	Ahmeek
ahoskie	NC	Ahoskie
ahtanum	WA	Ahtanum
ahuimanu	HI	Ahuimanu
ahwahnee	CA	Ahwahnee
ai	OH	Ai
aibonito	PR	Aibonito
aiea	HI	Aiea
aiken	SC	Aiken
ailey	GA	Ailey
ainaloa	HI	Ainaloa
ainsworth	IA	Ainsworth
ainsworth	NE	Ainsworth
air force academy	CO	Air Force Academy
airmont	NY	Airmont
airport	CA	Airport
airport drive	MO	Airport Drive
airport heights	TX	Airport Heights
airport road addition	TX	Airport Road Addition
airway heights	WA	Airway Heights
aitkin	MN	Aitkin
ajo	AZ	Ajo
ak chin	AZ	Ak Chin
ak chin village	AZ	Ak-Chin Village
akaska	SD	Akaska
akeley	MN	Akeley
akhiok	AK	Akhiok
akiachak	AK	Akiachak
akiak	AK	Akiak
akins	OK	Akins
akron	AL	Akron
akron	CO	Akron
akron	IA	Akron
akron	IN	Akron
akron	MI	Akron
akron	NY	Akron
akron	OH	Akron
akron	PA	Akron
akutan	AK	Akutan
akwesasne	NY	Akwesasne
alabaster	AL	Alabaster
alachua	FL	Alachua
alafaya	FL	Alafaya
alakanuk	AK	Alakanuk
alamance	NC	Alamance
alameda	CA	Alameda
alamillo	NM	Alamillo
alamo	CA	Alamo
alamo	GA	Alamo
alamo	IN	Alamo
alamo	ND	Alamo
alamo	NM	Alamo
alamo	NV	Alamo
alamo	TN	Alamo
alamo	TX	Alamo
alamo beach	TX	Alamo Beach
alamo heights	TX	Alamo Heights
alamo lake	AZ	Alamo Lake
alamogordo	NM	Alamogordo
alamosa	CO	Alamosa
alamosa east	CO	Alamosa East
alanreed	TX	Alanreed
alanson	MI	Alanson
alapaha	GA	Alapaha
alatna	AK	Alatna
alba	MI	Alba
alba	MO	Alba
alba	PA	Alba
alba	TX	Alba
albany	CA	Albany
albany	GA	Albany
albany	IL	Albany
albany	IN	Albany
albany	KY	Albany
albany	LA	Albany
albany	MN	Albany
albany	MO	Albany
albany	NY	Albany
albany	OH	Albany
albany	OK	Albany
albany	OR	Albany
albany	TX	Albany
albany	VT	Albany
albany	WI	Albany
albany	WY	Albany
albee	SD	Albee
albemarle	NC	Albemarle
albers	IL	Albers
albert	KS	Albert
albert city	IA	Albert City
albert lea	MN	Albert Lea
alberta	MN	Alberta
alberta	VA	Alberta
alberton	MT	Alberton
albertson	NY	Albertson
albertville	AL	Albertville
albertville	MN	Albertville
albia	IA	Albia
albin	WY	Albin
albion	CA	Albion
albion	IA	Albion
albion	ID	Albion
albion	IL	Albion
albion	IN	Albion
albion	MI	Albion
albion	NE	Albion
albion	NY	Albion
albion	OK	Albion
albion	PA	Albion
albion	WA	Albion
albright	WV	Albright
albrightsville	PA	Albrightsville
albuquerque	NM	Albuquerque
alburgh	VT	Alburgh
alburnett	IA	Alburnett
alburtis	PA	Alburtis
alcalde	NM	Alcalde
alcan border	AK	Alcan Border
alcester	SD	Alcester
alcoa	TN	Alcoa
alcolu	SC	Alcolu
alcorn state university	MS	Alcorn State University
alcova	WY	Alcova
alda	NE	Alda
aldan	PA	Aldan
alden	IA	Alden
alden	IL	Alden
alden	KS	Alden
alden	MI	Alden
alden	MN	Alden
alden	NY	Alden
alder	MT	Alder
alder	WA	Alder
alderpoint	CA	Alderpoint
alderson	OK	Alderson
alderson	WV	Alderson
alderton	WA	Alderton
alderwood manor	WA	Alderwood Manor
aldie	VA	Aldie
aldine	TX	Aldine
aldora	GA	Aldora
aldrich	MN	Aldrich
aldrich	MO	Aldrich
aledo	IL	Aledo
aledo	TX	Aledo
aleknagik	AK	Aleknagik
aleneva	AK	Aleneva
alex	OK	Alex
alexander	AR	Alexander
alexander	IA	Alexander
alexander	IL	Alexander
alexander	KS	Alexander
alexander	ND	Alexander
alexander	NY	Alexander
alexander city	AL	Alexander City
alexandria	AL	Alexandria
alexandria	IN	Alexandria
alexandria	KY	Alexandria
alexandria	LA	Alexandria
alexandria	MN	Alexandria
alexandria	MO	Alexandria
alexandria	NE	Alexandria
alexandria	OH	Alexandria
alexandria	PA	Alexandria
alexandria	SD	Alexandria
alexandria	TN	Alexandria
alexandria	VA	Alexandria
alexandria bay	NY	Alexandria Bay
alexis	IL	Alexis
alexis	NC	Alexis
alfarata	PA	Alfarata
alford	FL	Alford
alford	IN	Alford
alfordsville	IN	Alfordsville
alfred	ME	Alfred
alfred	NY	Alfred
alfred	TX	Alfred
alger	OH	Alger
alger	WA	Alger
algiers	VT	Algiers
algodones	NM	Algodones
algoma	MS	Algoma
algoma	WI	Algoma
algona	IA	Algona
algona	WA	Algona
algonac	MI	Algonac
algonquin	IL	Algonquin
algonquin	MD	Algonquin
algood	TN	Algood
alhambra	CA	Alhambra
alhambra	IL	Alhambra
alhambra valley	CA	Alhambra Valley
ali chuk	AZ	Ali Chuk
ali chukson	AZ	Ali Chukson
ali molina	AZ	Ali Molina
alianza	PR	Alianza
alice	ND	Alice
alice	TX	Alice
alice acres	TX	Alice Acres
aliceville	AL	Aliceville
alicia	AR	Alicia
aline	OK	Aline
aliquippa	PA	Aliquippa
aliso viejo	CA	Aliso Viejo
alix	AR	Alix
allakaket	AK	Allakaket
allamuchy	NJ	Allamuchy
allardt	TN	Allardt
alleene	AR	Alleene
allegan	MI	Allegan
allegany	NY	Allegany
alleghany	CA	Alleghany
alleghenyville	PA	Alleghenyville
alleman	IA	Alleman
allen	KS	Allen
allen	KY	Allen
allen	MD	Allen
allen	MI	Allen
allen	NE	Allen
allen	OK	Allen
allen	SD	Allen
allen	TX	Allen
allen park	MI	Allen Park
allendale	CA	Allendale
allendale	IL	Allendale
allendale	MI	Allendale
allendale	MO	Allendale
allendale	NJ	Allendale
allendale	SC	Allendale
allenhurst	GA	Allenhurst
allenhurst	NJ	Allenhurst
allenport	PA	Allenport
allens grove	WI	Allens Grove
allenspark	CO	Allenspark
allensville	KY	Allensville
allensville	PA	Allensville
allensworth	CA	Allensworth
allenton	WI	Allenton
allentown	FL	Allentown
allentown	GA	Allentown
allentown	NJ	Allentown
allentown	PA	Allentown
allenville	IL	Allenville
allenville	MO	Allenville
allenwood	NJ	Allenwood
allenwood	PA	Allenwood
allerton	IA	Allerton
allerton	IL	Allerton
allgood	AL	Allgood
alliance	NC	Alliance
alliance	NE	Alliance
alliance	OH	Alliance
alligator	MS	Alligator
allison	IA	Allison
allison	PA	Allison
allison	TX	Allison
allison gap	VA	Allison Gap
allison park	PA	Allison Park
allisonia	VA	Allisonia
allouez	WI	Allouez
alloway	NJ	Alloway
allport	AR	Allport
allport	PA	Allport
allyn	WA	Allyn
alma	AR	Alma
alma	CO	Alma
alma	GA	Alma
alma	IL	Alma
alma	KS	Alma
alma	MI	Alma
alma	MO	Alma
alma	NE	Alma
alma	NM	Alma
alma	TX	Alma
alma	WI	Alma
alma center	WI	Alma Center
almanor	CA	Almanor
almedia	PA	Almedia
almena	KS	Almena
almena	WI	Almena
almira	WA	Almira
almond	NY	Almond
almond	WI	Almond
almont	MI	Almont
almont	ND	Almont
almyra	AR	Almyra
aloha	OR	Aloha
alondra park	CA	Alondra Park
alonzaville	VA	Alonzaville
alpaugh	CA	Alpaugh
alpena	AR	Alpena
alpena	MI	Alpena
alpena	SD	Alpena
alpha	IL	Alpha
alpha	MI	Alpha
alpha	MN	Alpha
alpha	NJ	Alpha
alpharetta	GA	Alpharetta
alpine	AR	Alpine
alpine	AZ	Alpine
alpine	CA	Alpine
alpine	CO	Alpine
alpine	NJ	Alpine
alpine	OR	Alpine
alpine	TX	Alpine
alpine	UT	Alpine
alpine	WY	Alpine
alpine northeast	WY	Alpine Northeast
alpine northwest	WY	Alpine Northwest
alpine village	CA	Alpine Village
alsace manor	PA	Alsace Manor
alsea	OR	Alsea
alsen	ND	Alsen
alsey	IL	Alsey
alsip	IL	Alsip
alston	GA	Alston
alta	CA	Alta
alta	IA	Alta
alta	UT	Alta
alta	WY	Alta
alta sierra	CA	Alta Sierra
alta vista	IA	Alta Vista
alta vista	KS	Alta Vista
altadena	CA	Altadena
altamahaw	NC	Altamahaw
altamont	IL	Altamont
altamont	KS	Altamont
altamont	MO	Altamont
altamont	NY	Altamont
altamont	OR	Altamont
altamont	PA	Altamont
altamont	SD	Altamont
altamont	TN	Altamont
altamont	UT	Altamont
altamonte springs	FL	Altamonte Springs
altavista	VA	Altavista
altenburg	MO	Altenburg
altha	FL	Altha
altheimer	AR	Altheimer
altmar	NY	Altmar
alto	CA	Alto
alto	GA	Alto
alto	TX	Alto
alto	WI	Alto
alto bonito heights	TX	Alto Bonito Heights
alto pass	IL	Alto Pass
alton	IA	Alton
alton	IL	Alton
alton	IN	Alton
alton	KS	Alton
alton	MO	Alton
alton	NH	Alton
alton	TX	Alton
alton	UT	Alton
altona	CO	Altona
altona	IL	Altona
altona	IN	Altona
altona	NY	Altona
altoona	AL	Altoona
altoona	FL	Altoona
altoona	IA	Altoona
altoona	KS	Altoona
altoona	PA	Altoona
altoona	WA	Altoona
altoona	WI	Altoona
altura	MN	Altura
alturas	CA	Alturas
alturas	FL	Alturas
altus	AR	Altus
altus	OK	Altus
alum creek	WV	Alum Creek
alum rock	CA	Alum Rock
alva	FL	Alva
alva	OK	Alva
alvan alvin	IL	Alvan (Alvin)
alvarado	MN	Alvarado
alvarado	TX	Alvarado
alverda	PA	Alverda
alvin	TX	Alvin
alvo	NE	Alvo
alvord	IA	Alvord
alvord	TX	Alvord
alvordton	OH	Alvordton
alzada	MT	Alzada
ama	LA	Ama
amada acres	TX	Amada Acres
amado	AZ	Amado
amador city	CA	Amador City
amador pines	CA	Amador Pines
amagansett	NY	Amagansett
amagon	AR	Amagon
amalga	UT	Amalga
amana	IA	Amana
amanda	OH	Amanda
amanda park	WA	Amanda Park
amargosa	TX	Amargosa
amargosa valley	NV	Amargosa Valley
amarillo	TX	Amarillo
amasa	MI	Amasa
amaya	TX	Amaya
amazonia	MO	Amazonia
amber	OK	Amber
amberg	WI	Amberg
amberley	OH	Amberley
ambia	IN	Ambia
ambler	AK	Ambler
ambler	PA	Ambler
amboy	IL	Amboy
amboy	IN	Amboy
amboy	MN	Amboy
amboy	WA	Amboy
ambridge	PA	Ambridge
ambridge heights	PA	Ambridge Heights
ambrose	GA	Ambrose
ambrose	ND	Ambrose
amelia	LA	Amelia
amelia	OH	Amelia
amelia court house	VA	Amelia Court House
amenia	ND	Amenia
amenia	NY	Amenia
american canyon	CA	American Canyon
american falls	ID	American Falls
american fork	UT	American Fork
americus	GA	Americus
americus	IN	Americus
americus	KS	Americus
amery	WI	Amery
ames	IA	Ames
ames	KS	Ames
ames	NE	Ames
ames	NY	Ames
ames	OK	Ames
ames	TX	Ames
ames lake	WA	Ames Lake
amesbury	MA	Amesbury
amesbury town	MA	Amesbury
amesti	CA	Amesti
amesville	OH	Amesville
amherst	CO	Amherst
amherst	MA	Amherst
amherst	NE	Amherst
amherst	NH	Amherst
amherst	OH	Amherst
amherst	TX	Amherst
amherst	VA	Amherst
amherst	WI	Amherst
amherst junction	WI	Amherst Junction
amherst town	MA	Amherst
amherstdale	WV	Amherstdale
amidon	ND	Amidon
amistad	TX	Amistad
amite city	LA	Amite City
amity	AR	Amity
amity	IN	Amity
amity	MO	Amity
amity	OR	Amity
amity gardens	PA	Amity Gardens
amityville	NY	Amityville
ammon	ID	Ammon
amo	IN	Amo
amonate	VA	Amonate
amoret	MO	Amoret
amorita	OK	Amorita
amory	MS	Amory
ampere north	NJ	Ampere North
amsterdam	MO	Amsterdam
amsterdam	MT	Amsterdam
amsterdam	NY	Amsterdam
amsterdam	OH	Amsterdam
anacoco	LA	Anacoco
anaconda	MT	Anaconda
anaconda deer lodge county	MT	Anaconda
anacortes	WA	Anacortes
anacua	TX	Anacua
anadarko	OK	Anadarko
anaheim	CA	Anaheim
anahola	HI	Anahola
anahuac	TX	Anahuac
anaktuvuk pass	AK	Anaktuvuk Pass
anamoose	ND	Anamoose
anamosa	IA	Anamosa
anatone	WA	Anatone
anawalt	WV	Anawalt
anchor	IL	Anchor
anchor bay	CA	Anchor Bay
anchor point	AK	Anchor Point
anchorage	AK	Anchorage
anchorage	KY	Anchorage
ancient oaks	PA	Ancient Oaks
andale	KS	Andale
andalusia	AL	Andalusia
andalusia	IL	Andalusia
andalusia	PA	Andalusia
anderson	AK	Anderson
anderson	AL	Anderson
anderson	CA	Anderson
anderson	IA	Anderson
anderson	IN	Anderson
anderson	MO	Anderson
anderson	NJ	Anderson
anderson	SC	Anderson
anderson	SD	Anderson
anderson	TX	Anderson
anderson creek	NC	Anderson Creek
anderson island	WA	Anderson Island
andersonville	GA	Andersonville
andersonville	IN	Andersonville
andersonville	OH	Andersonville
andersonville	TN	Andersonville
andes	NY	Andes
andover	IA	Andover
andover	IL	Andover
andover	KS	Andover
andover	MA	Andover
andover	MN	Andover
andover	NJ	Andover
andover	NY	Andover
andover	OH	Andover
andover	SD	Andover
andres	IL	Andres
andrew	IA	Andrew
andrews	FL	Andrews
andrews	IN	Andrews
andrews	NC	Andrews
andrews	SC	Andrews
andrews	TX	Andrews
andrews afb	MD	Andrews AFB
anegam	AZ	Anegam
aneta	ND	Aneta
aneth	UT	Aneth
angel fire	NM	Angel Fire
angelica	NY	Angelica
angelica	WI	Angelica
angels	CA	Angels
angie	LA	Angie
angier	NC	Angier
angle inlet	MN	Angle Inlet
angleton	TX	Angleton
angola	IN	Angola
angola	NY	Angola
angola on the lake	NY	Angola on the Lake
angoon	AK	Angoon
angostura	SD	Angostura
anguilla	MS	Anguilla
angus	TX	Angus
angustura	NM	Angustura
angwin	CA	Angwin
aniak	AK	Aniak
animas	NM	Animas
animas	PR	Animas
anita	IA	Anita
